characteristic,n_2022,n_2023,earnings_2022,earnings_2023
"Total, 16 years and over",118869,120907,1059,1117
"Men, 16 years and over",65554,66700,1154,1202
16 to 24 years,6044,6356,713,736
25 years and over,59510,60344,1219,1273
"Women, 16 years and over",53315,54207,958,1005
16 to 24 years,4682,5069,656,691
25 years and over,48633,49138,1002,1060
White,90543,91336,1085,1138
Men,51054,51583,1172,1225
Women,39489,39752,973,1021
Black or African American,15804,16452,878,920
Men,7665,7943,921,970
Women,8139,8508,835,889
Asian,8249,8597,1401,1474
Men,4535,4730,1559,1635
Women,3715,3867,1234,1299
Hispanic or Latino ethnicity,22227,22834,823,874
Men,13163,13434,887,915
Women,9064,9399,761,800
