characteristic,n_total,earnings_total,n_col3,earnings_col3,n_col4,earnings_col4
"Total, 16 years and over",120907,1117,1364,1463,1355,1024
16 to 24 years,11426,714,824,775,831,705
25 to 54 years,84062,1166,1385,1503,1373,1095
25 to 34 years,29749,1045,1199,1268,1190,998
35 to 44 years,28702,1250,1472,1633,1454,1161
45 to 54 years,25611,1255,1508,1599,1497,1158
55 years and over,25420,1186,1456,1519,1448,1117
55 to 64 years,20031,1217,1468,1532,1460,1145
65 years and over,5389,1080,1395,1446,1390,994
"Men, 16 years and over",66700,1202,1483,1583,1466,1136
16 to 24 years,6356,736,911,826,928,723
25 to 54 years,46335,1259,1497,1609,1475,1191
55 years and over,14009,1343,1618,1734,1596,1252
"Women, 16 years and over",54207,1005,1260,1270,1259,922
16 to 24 years,5069,691,782,681,789,679
25 to 54 years,37727,1066,1293,1319,1291,973
55 years and over,11410,1039,1320,1267,1325,951
"White, 16 years and over",91336,1138,1392,1465,1384,1046
Men,51583,1225,1517,1585,1504,1151
Women,39752,1021,1287,1290,1287,928
"Black or African American, 16 years and over",16452,920,1125,1161,1114,878
Men,7943,970,1203,1365,1192,916
Women,8508,889,1056,1069,1055,821
"Asian, 16 years and over",8597,1474,1678,1912,1593,1426
Men,4730,1635,1872,2277,1785,1589
Women,3867,1299,1526,1654,1499,1231
"Hispanic or Latino ethnicity, 16 years and over",22834,874,1154,1184,1151,827
Men,13434,915,1228,1231,1228,883
Women,9399,800,1051,1033,1053,762
"Total, 25 years and over",109482,1170,1399,1506,1388,1100
Less than a high school diploma,6047,708,817,NA,809,703
"High school graduates, no college",26327,899,1029,1120,1017,885
Some college or associate degree,26526,1016,1128,1252,1107,989
"Some college, no degree",14583,992,1078,1236,1054,973
Associate degree,11943,1058,1159,1262,1144,1013
Bachelor's degree and higher,50582,1609,1634,1815,1615,1591
Bachelor's degree only,30851,1493,1494,1661,1474,1493
Advanced degree,19731,1837,1779,1951,1764,1876
