"Characteristic","Number of workers (in thousands)","Median weekly earnings"
"2022","2023","2022","2023"
"SEX AND AGE",""
"Total, 16 years and over","118,869","120,907","$1,059","$1,117"
""
"Men, 16 years and over","65,554","66,700","1,154","1,202"
"16 to 24 years","6,044","6,356","713","736"
"25 years and over","59,510","60,344","1,219","1,273"
""
"Women, 16 years and over","53,315","54,207","958","1,005"
"16 to 24 years","4,682","5,069","656","691"
"25 years and over","48,633","49,138","1,002","1,060"
""
"RACE AND HISPANIC OR LATINO ETHNICITY",""
"White","90,543","91,336","1,085","1,138"
"Men","51,054","51,583","1,172","1,225"
"Women","39,489","39,752","973","1,021"
""
"Black or African American","15,804","16,452","878","920"
"Men","7,665","7,943","921","970"
"Women","8,139","8,508","835","889"
""
"Asian","8,249","8,597","1,401","1,474"
"Men","4,535","4,730","1,559","1,635"
"Women","3,715","3,867","1,234","1,299"
""
"Hispanic or Latino ethnicity","22,227","22,834","823","874"
"Men","13,163","13,434","887","915"
"Women","9,064","9,399","761","800"
