"Characteristic","Full-time wage and salary workers (in thousands)","Median weekly earnings"
"Total","With a certification or license(1)","Without a certification or license"
"Total","With a certification, but no license","With a license(2)"
"Age and sex",""
"Total, 16 years and over","120,907","$1,117","$1,364","$1,463","$1,355","$1,024"
"16 to 24 years","11,426","714","824","775","831","705"
"25 to 54 years","84,062","1,166","1,385","1,503","1,373","1,095"
"25 to 34 years","29,749","1,045","1,199","1,268","1,190","998"
"35 to 44 years","28,702","1,250","1,472","1,633","1,454","1,161"
"45 to 54 years","25,611","1,255","1,508","1,599","1,497","1,158"
"55 years and over","25,420","1,186","1,456","1,519","1,448","1,117"
"55 to 64 years","20,031","1,217","1,468","1,532","1,460","1,145"
"65 years and over","5,389","1,080","1,395","1,446","1,390","994"
""
"Men, 16 years and over","66,700","1,202","1,483","1,583","1,466","1,136"
"16 to 24 years","6,356","736","911","826","928","723"
"25 to 54 years","46,335","1,259","1,497","1,609","1,475","1,191"
"55 years and over","14,009","1,343","1,618","1,734","1,596","1,252"
""
"Women, 16 years and over","54,207","1,005","1,260","1,270","1,259","922"
"16 to 24 years","5,069","691","782","681","789","679"
"25 to 54 years","37,727","1,066","1,293","1,319","1,291","973"
"55 years and over","11,410","1,039","1,320","1,267","1,325","951"
""
"Race and Hispanic or Latino ethnicity",""
"White, 16 years and over","91,336","1,138","1,392","1,465","1,384","1,046"
"Men","51,583","1,225","1,517","1,585","1,504","1,151"
"Women","39,752","1,021","1,287","1,290","1,287","928"
"Black or African American, 16 years and over","16,452","920","1,125","1,161","1,114","878"
"Men","7,943","970","1,203","1,365","1,192","916"
"Women","8,508","889","1,056","1,069","1,055","821"
"Asian, 16 years and over","8,597","1,474","1,678","1,912","1,593","1,426"
"Men","4,730","1,635","1,872","2,277","1,785","1,589"
"Women","3,867","1,299","1,526","1,654","1,499","1,231"
"Hispanic or Latino ethnicity, 16 years and over","22,834","874","1,154","1,184","1,151","827"
"Men","13,434","915","1,228","1,231","1,228","883"
"Women","9,399","800","1,051","1,033","1,053","762"
""
"Educational attainment",""
"Total, 25 years and over","109,482","1,170","1,399","1,506","1,388","1,100"
"Less than a high school diploma","6,047","708","817","-","809","703"
"High school graduates, no college(3)","26,327","899","1,029","1,120","1,017","885"
"Some college or associate degree","26,526","1,016","1,128","1,252","1,107","989"
"Some college, no degree","14,583","992","1,078","1,236","1,054","973"
"Associate degree","11,943","1,058","1,159","1,262","1,144","1,013"
"Bachelor's degree and higher","50,582","1,609","1,634","1,815","1,615","1,591"
"Bachelor's degree only","30,851","1,493","1,494","1,661","1,474","1,493"
"Advanced degree(4)","19,731","1,837","1,779","1,951","1,764","1,876"
